seed,variant,best_epoch,epochs_completed,selected_threshold,test_pr_auc,test_roc_auc,test_brier,test_f1,test_recall,test_false_alarms,test_first_true_alert_lead_days,test_spatial_mean_rank,test_spatial_top1_hit_rate,test_spatial_top3_hit_rate,Model
7,cnn,18,38,0.5,1.0,1.0,0.1040544568871458,0.8888888888888888,1.0,1,27.0,4.5,0.0,0.0,cnn
21,cnn,8,28,0.697265625,1.0,1.0,0.0881524154295523,0.8888888888888888,1.0,1,27.0,3.75,0.0,0.0,cnn
42,cnn,6,26,0.30078125,1.0,1.0,0.0959962416026327,0.8888888888888888,1.0,1,27.0,2.5,0.0,1.0,cnn
84,cnn,14,34,0.2451171875,1.0,1.0,0.1606135898166232,0.6153846153846154,1.0,5,27.0,6.625,0.0,0.0,cnn
123,cnn,8,28,0.1826171875,1.0,1.0,0.10612669835488,0.8888888888888888,1.0,1,27.0,1.875,0.0,1.0,cnn
7,temporal_gru,1,21,0.06005859375,0.4444444444444444,0.5,0.3924223846859402,0.6153846153846154,1.0,5,27.0,41.125,0.0,0.0,temporal_gru
21,temporal_gru,1,21,0.040771484375,0.4444444444444444,0.5,0.4082924061351352,0.6153846153846154,1.0,5,27.0,82.0,0.0,0.0,temporal_gru
42,temporal_gru,1,21,0.06640625,0.4444444444444444,0.5,0.3905657662285698,0.0,0.0,0,,70.75,0.0,0.0,temporal_gru
84,temporal_gru,1,21,0.07080078125,0.4444444444444444,0.5,0.3836193349626329,0.6153846153846154,1.0,5,27.0,41.0,0.0,0.0,temporal_gru
123,temporal_gru,75,95,0.052734375,0.4444444444444444,0.5,0.3997771011458503,0.6153846153846154,1.0,5,27.0,29.5,0.0,0.0,temporal_gru
7,plain_gnn,9,29,0.03955078125,1.0,1.0,0.4091628727813561,1.0,1.0,0,27.0,2.75,0.0,0.75,plain_gnn
21,plain_gnn,10,30,0.5859375,1.0,1.0,0.0644055693151636,0.8888888888888888,1.0,1,27.0,2.125,0.0,1.0,plain_gnn
42,plain_gnn,8,28,0.271484375,1.0,1.0,0.1188688685910569,0.8888888888888888,1.0,1,27.0,2.0,0.0,1.0,plain_gnn
84,plain_gnn,7,27,0.2109375,1.0,1.0,0.2682280010647244,0.8,1.0,2,27.0,6.625,0.0,0.0,plain_gnn
123,plain_gnn,42,62,0.5,0.4444444444444444,0.5,0.5555555555555556,0.6153846153846154,1.0,5,27.0,11.875,0.0,0.0,plain_gnn
7,pi_gnn,35,55,0.5,0.8,0.9,0.5520901150173612,0.6153846153846154,1.0,5,27.0,1.875,0.0,0.75,pi_gnn
21,pi_gnn,10,30,0.103515625,1.0,1.0,0.345217699288494,1.0,1.0,0,27.0,1.0,1.0,1.0,pi_gnn
42,pi_gnn,31,51,0.5,1.0,1.0,0.0850694567269682,0.8888888888888888,1.0,1,27.0,2.625,0.0,0.0,pi_gnn
84,pi_gnn,41,61,0.5,0.5714285714285714,0.7,0.5538228352864584,0.6153846153846154,1.0,5,27.0,10.875,0.0,0.0,pi_gnn
123,pi_gnn,55,75,0.5,0.8,0.9,0.5244293212890625,0.6153846153846154,1.0,5,27.0,3.5,0.0,0.0,pi_gnn
