model,model_label,seed,anchor_date,days_to_event_start,label,probability,selected_threshold,alert,source_file
cnn,CNN,7,2022-03-01,67,0,0.005218505859375,0.5,0,/mnt/data/_points/causal30_v1/seed_7/cnn/predictions_test.npz
cnn,CNN,7,2022-03-09,59,0,0.00537109375,0.5,0,/mnt/data/_points/causal30_v1/seed_7/cnn/predictions_test.npz
cnn,CNN,7,2022-03-17,51,0,0.0078125,0.5,0,/mnt/data/_points/causal30_v1/seed_7/cnn/predictions_test.npz
cnn,CNN,7,2022-03-25,43,0,0.09521484375,0.5,0,/mnt/data/_points/causal30_v1/seed_7/cnn/predictions_test.npz
cnn,CNN,7,2022-04-02,35,0,0.9609375,0.5,1,/mnt/data/_points/causal30_v1/seed_7/cnn/predictions_test.npz
cnn,CNN,7,2022-04-10,27,1,0.96875,0.5,1,/mnt/data/_points/causal30_v1/seed_7/cnn/predictions_test.npz
cnn,CNN,7,2022-04-18,19,1,0.96875,0.5,1,/mnt/data/_points/causal30_v1/seed_7/cnn/predictions_test.npz
cnn,CNN,7,2022-04-26,11,1,0.96875,0.5,1,/mnt/data/_points/causal30_v1/seed_7/cnn/predictions_test.npz
cnn,CNN,7,2022-05-04,3,1,0.96875,0.5,1,/mnt/data/_points/causal30_v1/seed_7/cnn/predictions_test.npz
cnn,CNN,21,2022-03-01,67,0,0.007354736328125,0.697265625,0,/mnt/data/_points/causal30_v1/seed_21/cnn/predictions_test.npz
cnn,CNN,21,2022-03-09,59,0,0.007354736328125,0.697265625,0,/mnt/data/_points/causal30_v1/seed_21/cnn/predictions_test.npz
cnn,CNN,21,2022-03-17,51,0,0.007568359375,0.697265625,0,/mnt/data/_points/causal30_v1/seed_21/cnn/predictions_test.npz
cnn,CNN,21,2022-03-25,43,0,0.010009765625,0.697265625,0,/mnt/data/_points/causal30_v1/seed_21/cnn/predictions_test.npz
cnn,CNN,21,2022-04-02,35,0,0.86328125,0.697265625,1,/mnt/data/_points/causal30_v1/seed_21/cnn/predictions_test.npz
cnn,CNN,21,2022-04-10,27,1,0.890625,0.697265625,1,/mnt/data/_points/causal30_v1/seed_21/cnn/predictions_test.npz
cnn,CNN,21,2022-04-18,19,1,0.890625,0.697265625,1,/mnt/data/_points/causal30_v1/seed_21/cnn/predictions_test.npz
cnn,CNN,21,2022-04-26,11,1,0.890625,0.697265625,1,/mnt/data/_points/causal30_v1/seed_21/cnn/predictions_test.npz
cnn,CNN,21,2022-05-04,3,1,0.890625,0.697265625,1,/mnt/data/_points/causal30_v1/seed_21/cnn/predictions_test.npz
cnn,CNN,42,2022-03-01,67,0,0.01495361328125,0.30078125,0,/mnt/data/_points/causal30_v1/seed_42/cnn/predictions_test.npz
cnn,CNN,42,2022-03-09,59,0,0.01495361328125,0.30078125,0,/mnt/data/_points/causal30_v1/seed_42/cnn/predictions_test.npz
cnn,CNN,42,2022-03-17,51,0,0.03173828125,0.30078125,0,/mnt/data/_points/causal30_v1/seed_42/cnn/predictions_test.npz
cnn,CNN,42,2022-03-25,43,0,0.1923828125,0.30078125,0,/mnt/data/_points/causal30_v1/seed_42/cnn/predictions_test.npz
cnn,CNN,42,2022-04-02,35,0,0.890625,0.30078125,1,/mnt/data/_points/causal30_v1/seed_42/cnn/predictions_test.npz
cnn,CNN,42,2022-04-10,27,1,0.91015625,0.30078125,1,/mnt/data/_points/causal30_v1/seed_42/cnn/predictions_test.npz
cnn,CNN,42,2022-04-18,19,1,0.91015625,0.30078125,1,/mnt/data/_points/causal30_v1/seed_42/cnn/predictions_test.npz
cnn,CNN,42,2022-04-26,11,1,0.91015625,0.30078125,1,/mnt/data/_points/causal30_v1/seed_42/cnn/predictions_test.npz
cnn,CNN,42,2022-05-04,3,1,0.91015625,0.30078125,1,/mnt/data/_points/causal30_v1/seed_42/cnn/predictions_test.npz
cnn,CNN,84,2022-03-01,67,0,0.255859375,0.2451171875,1,/mnt/data/_points/causal30_v1/seed_84/cnn/predictions_test.npz
cnn,CNN,84,2022-03-09,59,0,0.263671875,0.2451171875,1,/mnt/data/_points/causal30_v1/seed_84/cnn/predictions_test.npz
cnn,CNN,84,2022-03-17,51,0,0.361328125,0.2451171875,1,/mnt/data/_points/causal30_v1/seed_84/cnn/predictions_test.npz
cnn,CNN,84,2022-03-25,43,0,0.453125,0.2451171875,1,/mnt/data/_points/causal30_v1/seed_84/cnn/predictions_test.npz
cnn,CNN,84,2022-04-02,35,0,0.56640625,0.2451171875,1,/mnt/data/_points/causal30_v1/seed_84/cnn/predictions_test.npz
cnn,CNN,84,2022-04-10,27,1,0.59765625,0.2451171875,1,/mnt/data/_points/causal30_v1/seed_84/cnn/predictions_test.npz
cnn,CNN,84,2022-04-18,19,1,0.59375,0.2451171875,1,/mnt/data/_points/causal30_v1/seed_84/cnn/predictions_test.npz
cnn,CNN,84,2022-04-26,11,1,0.59375,0.2451171875,1,/mnt/data/_points/causal30_v1/seed_84/cnn/predictions_test.npz
cnn,CNN,84,2022-05-04,3,1,0.59765625,0.2451171875,1,/mnt/data/_points/causal30_v1/seed_84/cnn/predictions_test.npz
cnn,CNN,123,2022-03-01,67,0,0.00860595703125,0.1826171875,0,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-03-09,59,0,0.00885009765625,0.1826171875,0,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-03-17,51,0,0.0113525390625,0.1826171875,0,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-03-25,43,0,0.11572265625,0.1826171875,0,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-04-02,35,0,0.96875,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-04-10,27,1,0.97265625,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-04-18,19,1,0.97265625,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-04-26,11,1,0.97265625,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
cnn,CNN,123,2022-05-04,3,1,0.97265625,0.1826171875,1,/mnt/data/_points/causal30_v1/seed_123/cnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-03-01,67,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-03-09,59,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-03-17,51,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-03-25,43,0,0.99609375,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-04-02,35,0,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-04-10,27,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-04-18,19,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-04-26,11,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,7,2022-05-04,3,1,1.0,0.5,1,/mnt/data/_points/causal30_v1/seed_7/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-03-01,67,0,0.004913330078125,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-03-09,59,0,0.004913330078125,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-03-17,51,0,0.0047607421875,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-03-25,43,0,0.005218505859375,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-04-02,35,0,0.056640625,0.103515625,0,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
pi_gnn,PI-GNN,21,2022-04-10,27,1,0.119140625,0.103515625,1,/mnt/data/_points/causal30_v1/seed_21/pi_gnn/predictions_test.npz
