seed,ablation_id,reference,description,variant,best_epoch,epochs_completed,selected_threshold,test_pr_auc,test_roc_auc,test_brier,test_f1,test_recall,test_false_alarms,test_first_true_alert_lead_days,test_spatial_mean_rank,test_spatial_top1_hit_rate,test_spatial_top3_hit_rate,metrics_path,contract_sha256,graph_source,continuity_weight,temperature_elevation_weight,flow_weight,total_weight
7,reference_plain_gnn,True,Existing five-seed main-experiment result.,plain_gnn,9,29,0.03955078125,1.0,1.0,0.4091628727813561,1.0,1.0,0,27,2.75,0.0,0.75,outputs/causal30_v1/physics_ablations/reference_plain_gnn/seed_7/plain_gnn/metrics.json,,,,,,
7,reference_pi_gnn,True,Existing five-seed main-experiment result.,pi_gnn,35,55,0.5,0.8,0.9,0.5520901150173612,0.6153846153846154,1.0,5,27,1.875,0.0,0.75,outputs/causal30_v1/physics_ablations/reference_pi_gnn/seed_7/pi_gnn/metrics.json,,,,,,
21,reference_plain_gnn,True,Existing five-seed main-experiment result.,plain_gnn,10,30,0.5859375,1.0,1.0,0.0644055693151636,0.8888888888888888,1.0,1,27,2.125,0.0,1.0,outputs/causal30_v1/physics_ablations/reference_plain_gnn/seed_21/plain_gnn/metrics.json,,,,,,
21,reference_pi_gnn,True,Existing five-seed main-experiment result.,pi_gnn,10,30,0.103515625,1.0,1.0,0.345217699288494,1.0,1.0,0,27,1.0,1.0,1.0,outputs/causal30_v1/physics_ablations/reference_pi_gnn/seed_21/pi_gnn/metrics.json,,,,,,
42,reference_plain_gnn,True,Existing five-seed main-experiment result.,plain_gnn,8,28,0.271484375,1.0,1.0,0.1188688685910569,0.8888888888888888,1.0,1,27,2.0,0.0,1.0,outputs/causal30_v1/physics_ablations/reference_plain_gnn/seed_42/plain_gnn/metrics.json,,,,,,
42,reference_pi_gnn,True,Existing five-seed main-experiment result.,pi_gnn,31,51,0.5,1.0,1.0,0.0850694567269682,0.8888888888888888,1.0,1,27,2.625,0.0,0.0,outputs/causal30_v1/physics_ablations/reference_pi_gnn/seed_42/pi_gnn/metrics.json,,,,,,
84,reference_plain_gnn,True,Existing five-seed main-experiment result.,plain_gnn,7,27,0.2109375,1.0,1.0,0.2682280010647244,0.8,1.0,2,27,6.625,0.0,0.0,outputs/causal30_v1/physics_ablations/reference_plain_gnn/seed_84/plain_gnn/metrics.json,,,,,,
84,reference_pi_gnn,True,Existing five-seed main-experiment result.,pi_gnn,41,61,0.5,0.5714285714285714,0.7,0.5538228352864584,0.6153846153846154,1.0,5,27,10.875,0.0,0.0,outputs/causal30_v1/physics_ablations/reference_pi_gnn/seed_84/pi_gnn/metrics.json,,,,,,
123,reference_plain_gnn,True,Existing five-seed main-experiment result.,plain_gnn,42,62,0.5,0.4444444444444444,0.5,0.5555555555555556,0.6153846153846154,1.0,5,27,11.875,0.0,0.0,outputs/causal30_v1/physics_ablations/reference_plain_gnn/seed_123/plain_gnn/metrics.json,,,,,,
123,reference_pi_gnn,True,Existing five-seed main-experiment result.,pi_gnn,55,75,0.5,0.8,0.9,0.5244293212890625,0.6153846153846154,1.0,5,27,3.5,0.0,0.0,outputs/causal30_v1/physics_ablations/reference_pi_gnn/seed_123/pi_gnn/metrics.json,,,,,,
7,physics_graph_no_physics_loss,False,"PI-GNN architecture with the directed physics graph, but total physics-loss weight fixed to zero.",pi_gnn,32,52,0.5,0.8,0.9,0.4838833279079861,0.6153846153846154,1.0,5,27,3.75,0.0,0.0,outputs/causal30_v1/physics_ablations/physics_graph_no_physics_loss/seed_7/pi_gnn/metrics.json,d70407625ad754e5c2fc956a7e1e166479ca8db8b044210f01ed0b5a1fcb3a82,physics,0.5,0.3,0.2,0.0
21,physics_graph_no_physics_loss,False,"PI-GNN architecture with the directed physics graph, but total physics-loss weight fixed to zero.",pi_gnn,11,31,0.2392578125,1.0,1.0,0.0663013495504856,0.8888888888888888,1.0,1,27,2.5,0.0,1.0,outputs/causal30_v1/physics_ablations/physics_graph_no_physics_loss/seed_21/pi_gnn/metrics.json,7120e0b0562d7e30bd6c5eba0d1e56184bf4999651b8e9ad41d8b157607c9104,physics,0.5,0.3,0.2,0.0
42,physics_graph_no_physics_loss,False,"PI-GNN architecture with the directed physics graph, but total physics-loss weight fixed to zero.",pi_gnn,14,34,0.560546875,1.0,1.0,0.0293357021744466,1.0,1.0,0,27,1.0,1.0,1.0,outputs/causal30_v1/physics_ablations/physics_graph_no_physics_loss/seed_42/pi_gnn/metrics.json,db44fccda3849ccfc5014a316ed994cce1244753085817c9a41f1a2c8a263e7f,physics,0.5,0.3,0.2,0.0
84,physics_graph_no_physics_loss,False,"PI-GNN architecture with the directed physics graph, but total physics-loss weight fixed to zero.",pi_gnn,40,60,0.5,0.5714285714285714,0.7,0.5538228352864584,0.6153846153846154,1.0,5,27,10.75,0.0,0.0,outputs/causal30_v1/physics_ablations/physics_graph_no_physics_loss/seed_84/pi_gnn/metrics.json,55c70dad6e29e17b38375ee4061192acfce9f532c2ad9c4d4c30c98282a072a2,physics,0.5,0.3,0.2,0.0
123,physics_graph_no_physics_loss,False,"PI-GNN architecture with the directed physics graph, but total physics-loss weight fixed to zero.",pi_gnn,55,75,0.5,0.8,0.9,0.5274878607855903,0.6153846153846154,1.0,5,27,7.125,0.0,0.0,outputs/causal30_v1/physics_ablations/physics_graph_no_physics_loss/seed_123/pi_gnn/metrics.json,06e3aaeb892ad6fc6887ed595c28528f7ea8b078d111b5a2a3a4a6384084535d,physics,0.5,0.3,0.2,0.0
7,knn_graph_full_physics_loss,False,PI-GNN architecture with the KNN graph while retaining the complete predeclared physics loss.,pi_gnn,32,52,0.130859375,1.0,1.0,0.3186649878819783,1.0,1.0,0,27,1.125,0.75,1.0,outputs/causal30_v1/physics_ablations/knn_graph_full_physics_loss/seed_7/pi_gnn/metrics.json,2ccdb63a5e12f3c5f405b188cb38e0d030b088fa4ec98f191e9a6cb74186767b,knn,0.5,0.3,0.2,0.4
21,knn_graph_full_physics_loss,False,PI-GNN architecture with the KNN graph while retaining the complete predeclared physics loss.,pi_gnn,10,30,0.1904296875,1.0,1.0,0.2406631752382964,1.0,1.0,0,27,1.0,1.0,1.0,outputs/causal30_v1/physics_ablations/knn_graph_full_physics_loss/seed_21/pi_gnn/metrics.json,c3659c03f4063cd3d8d665ca80cdec87d7198b49c102385af6e3cf976509aed7,knn,0.5,0.3,0.2,0.4
42,knn_graph_full_physics_loss,False,PI-GNN architecture with the KNN graph while retaining the complete predeclared physics loss.,pi_gnn,12,32,0.1279296875,1.0,1.0,0.3091468811035156,0.6153846153846154,1.0,5,27,2.875,0.0,1.0,outputs/causal30_v1/physics_ablations/knn_graph_full_physics_loss/seed_42/pi_gnn/metrics.json,5be2fd392e68ffef9bb3de9216fe07552d8dc64dc975ab2769d0147181ac9761,knn,0.5,0.3,0.2,0.4
84,knn_graph_full_physics_loss,False,PI-GNN architecture with the KNN graph while retaining the complete predeclared physics loss.,pi_gnn,58,78,0.5,0.8,0.9,0.2174166745745525,0.8,1.0,2,27,4.375,0.0,0.0,outputs/causal30_v1/physics_ablations/knn_graph_full_physics_loss/seed_84/pi_gnn/metrics.json,4631f59773f74989bd2b789f67f7d51c2d80c4523a92582d3df6974bef837a89,knn,0.5,0.3,0.2,0.4
123,knn_graph_full_physics_loss,False,PI-GNN architecture with the KNN graph while retaining the complete predeclared physics loss.,pi_gnn,42,62,0.5,0.8,0.9,0.2213778778419105,0.8,1.0,2,27,6.375,0.0,0.0,outputs/causal30_v1/physics_ablations/knn_graph_full_physics_loss/seed_123/pi_gnn/metrics.json,3d508316320cfb37514258dd658a4554d4dcf51a6576e0a6dfe51120399afa8c,knn,0.5,0.3,0.2,0.4
7,physics_graph_continuity_only,False,Directed physics graph with only the risk-flux continuity term active inside the physics loss.,pi_gnn,102,122,0.5,1.0,1.0,0.1093817817590674,0.8888888888888888,1.0,1,27,3.375,0.0,0.0,outputs/causal30_v1/physics_ablations/physics_graph_continuity_only/seed_7/pi_gnn/metrics.json,ae47c01decf88ce8d41b081cce11cb803dd491fa5d440a31aa6fd452eeebe670,physics,1.0,0.0,0.0,0.4
21,physics_graph_continuity_only,False,Directed physics graph with only the risk-flux continuity term active inside the physics loss.,pi_gnn,13,33,0.13671875,1.0,1.0,0.215422509652045,1.0,1.0,0,27,1.0,1.0,1.0,outputs/causal30_v1/physics_ablations/physics_graph_continuity_only/seed_21/pi_gnn/metrics.json,6eb166acdb422f758e950ddf5541386fe25213adc2a2004766a2246155172e7c,physics,1.0,0.0,0.0,0.4
42,physics_graph_continuity_only,False,Directed physics graph with only the risk-flux continuity term active inside the physics loss.,pi_gnn,46,66,0.5,1.0,1.0,0.0865953349265409,0.8888888888888888,1.0,1,27,2.125,0.0,0.75,outputs/causal30_v1/physics_ablations/physics_graph_continuity_only/seed_42/pi_gnn/metrics.json,e440a9f49bd2e4219085eb029f0df8ecb1a9eedb0db7fdc000fdd706f7f40dc6,physics,1.0,0.0,0.0,0.4
84,physics_graph_continuity_only,False,Directed physics graph with only the risk-flux continuity term active inside the physics loss.,pi_gnn,63,83,0.5,0.8,0.9,0.1111111115076965,0.8888888888888888,1.0,1,27,2.625,0.0,0.0,outputs/causal30_v1/physics_ablations/physics_graph_continuity_only/seed_84/pi_gnn/metrics.json,074633bd57405317574554f76b534420d11d35d4252943c786cc9125ab50598d,physics,1.0,0.0,0.0,0.4
123,physics_graph_continuity_only,False,Directed physics graph with only the risk-flux continuity term active inside the physics loss.,pi_gnn,39,59,0.5,0.8,0.9,0.1785896088598141,0.8,1.0,2,27,3.625,0.0,0.0,outputs/causal30_v1/physics_ablations/physics_graph_continuity_only/seed_123/pi_gnn/metrics.json,c0214d51a933dfd61e0bb940ab5955b4936aa619c4748c4ec57431b52b4e1bb6,physics,1.0,0.0,0.0,0.4
7,physics_graph_temperature_only,False,Directed physics graph with only the temperature-elevation consistency term active inside the physics loss.,pi_gnn,16,36,0.07470703125,1.0,1.0,0.5256873236762153,0.6153846153846154,1.0,5,27,9.25,0.0,0.0,outputs/causal30_v1/physics_ablations/physics_graph_temperature_only/seed_7/pi_gnn/metrics.json,06155803efc5f3bb4ba7e5e1c8c9b44ce1304d9696c9e652296416f51221bfbe,physics,0.0,1.0,0.0,0.4
21,physics_graph_temperature_only,False,Directed physics graph with only the temperature-elevation consistency term active inside the physics loss.,pi_gnn,1,21,0.0517578125,0.4444444444444444,0.0,0.3914144039154053,0.6153846153846154,1.0,5,27,79.5,0.0,0.0,outputs/causal30_v1/physics_ablations/physics_graph_temperature_only/seed_21/pi_gnn/metrics.json,f405698c4c538181008a2399e23cc5d750239f8619dc79ed1bbf59d553bb7c44,physics,0.0,1.0,0.0,0.4
