anchor_date,split,event_id,hazard_label,event_start,event_end,event_node_index,optical_acquisition_dates,optical_item_ids,thermal_slot_dates,velocity_source_years,snapshot_sha256
2019-03-01,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-01-26T05:51:21.024000+00:00|2019-02-10T05:49:59.024000+00:00,S2A_MSIL2A_20190126T055121_R048_T43SDA_20201008T044253|S2B_MSIL2A_20190210T054959_R048_T43SDA_20201007T153931,2019-02-02|2019-02-10|2019-02-18|2019-02-26,2015|2016|2017|2018,9404f14fe1d249d0d42bb18e0b6a001d88400c2b07f3a454f5d62a84cc398bb0
2019-03-09,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-01-26T05:51:21.024000+00:00|2019-02-10T05:49:59.024000+00:00,S2A_MSIL2A_20190126T055121_R048_T43SDA_20201008T044253|S2B_MSIL2A_20190210T054959_R048_T43SDA_20201007T153931,2019-02-10|2019-02-18|2019-02-26|2019-03-06,2015|2016|2017|2018,5493c7b7ed300c9fa820c4732b5bba6c2b83b47c71a29912fb1fd394f25240ad
2019-03-17,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-02-10T05:49:59.024000+00:00|2019-03-17T05:46:31.024000+00:00,S2B_MSIL2A_20190210T054959_R048_T43SDA_20201007T153931|S2A_MSIL2A_20190317T054631_R048_T43SDA_20201007T073012,2019-02-18|2019-02-26|2019-03-06|2019-03-14,2015|2016|2017|2018,e61553c2c00e108b78bc12c786c5d2f9a7f8a07bccd747c15d1ba0d98c8ab534
2019-03-25,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-02-10T05:49:59.024000+00:00|2019-03-17T05:46:31.024000+00:00|2019-03-22T05:46:39.024000+00:00,S2B_MSIL2A_20190210T054959_R048_T43SDA_20201007T153931|S2A_MSIL2A_20190317T054631_R048_T43SDA_20201007T073012|S2B_MSIL2A_20190322T054639_R048_T43SDA_20201007T092632,2019-02-26|2019-03-06|2019-03-14|2019-03-22,2015|2016|2017|2018,663633aa1981a8bf69fd28da5e7824e54007bcd40fee840da01dc9932d54bb66
2019-04-02,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-03-17T05:46:31.024000+00:00|2019-03-22T05:46:39.024000+00:00|2019-04-01T05:46:39.024000+00:00,S2A_MSIL2A_20190317T054631_R048_T43SDA_20201007T073012|S2B_MSIL2A_20190322T054639_R048_T43SDA_20201007T092632|S2B_MSIL2A_20190401T054639_R048_T43SDA_20201006T210247,2019-03-06|2019-03-14|2019-03-22|2019-03-30,2015|2016|2017|2018,cf6663af47fe29fefea3d756c8f6e6b501f1c0acf44443557fc2a2bf3b9f3cbc
2019-04-10,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-03-17T05:46:31.024000+00:00|2019-03-22T05:46:39.024000+00:00|2019-04-01T05:46:39.024000+00:00|2019-04-06T05:46:41.024000+00:00,S2A_MSIL2A_20190317T054631_R048_T43SDA_20201007T073012|S2B_MSIL2A_20190322T054639_R048_T43SDA_20201007T092632|S2B_MSIL2A_20190401T054639_R048_T43SDA_20201006T210247|S2A_MSIL2A_20190406T054641_R048_T43SDA_20201006T224515,2019-03-14|2019-03-22|2019-03-30|2019-04-07,2015|2016|2017|2018,48912da519b000c132d9ebf6667bdfde3cdd0f877fb39e7e6a98e1fd85256d89
2019-04-18,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-03-17T05:46:31.024000+00:00|2019-03-22T05:46:39.024000+00:00|2019-04-01T05:46:39.024000+00:00|2019-04-06T05:46:41.024000+00:00|2019-04-16T05:46:41.024000+00:00,S2A_MSIL2A_20190317T054631_R048_T43SDA_20201007T073012|S2B_MSIL2A_20190322T054639_R048_T43SDA_20201007T092632|S2B_MSIL2A_20190401T054639_R048_T43SDA_20201006T210247|S2A_MSIL2A_20190406T054641_R048_T43SDA_20201006T224515|S2A_MSIL2A_20190416T054641_R048_T43SDA_20201007T024058,2019-03-22|2019-03-30|2019-04-07|2019-04-15,2015|2016|2017|2018,db372b20e92ac20556772f39677fe7e9c5158df8861f6586aade4d831d86a0a1
2019-04-26,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-03-17T05:46:31.024000+00:00|2019-03-22T05:46:39.024000+00:00|2019-04-01T05:46:39.024000+00:00|2019-04-06T05:46:41.024000+00:00|2019-04-16T05:46:41.024000+00:00|2019-04-21T05:46:49.024000+00:00,S2A_MSIL2A_20190317T054631_R048_T43SDA_20201007T073012|S2B_MSIL2A_20190322T054639_R048_T43SDA_20201007T092632|S2B_MSIL2A_20190401T054639_R048_T43SDA_20201006T210247|S2A_MSIL2A_20190406T054641_R048_T43SDA_20201006T224515|S2A_MSIL2A_20190416T054641_R048_T43SDA_20201007T024058|S2B_MSIL2A_20190421T054649_R048_T43SDA_20201105T140110,2019-03-30|2019-04-07|2019-04-15|2019-04-23,2015|2016|2017|2018,65ed5ca67beb5e52ff6eadeeddb6bfaf54a5d749a4d89c82222af2cc286c886f
2019-05-04,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-03-22T05:46:39.024000+00:00|2019-04-01T05:46:39.024000+00:00|2019-04-06T05:46:41.024000+00:00|2019-04-16T05:46:41.024000+00:00|2019-04-21T05:46:49.024000+00:00|2019-05-01T05:46:49.024000+00:00,S2B_MSIL2A_20190322T054639_R048_T43SDA_20201007T092632|S2B_MSIL2A_20190401T054639_R048_T43SDA_20201006T210247|S2A_MSIL2A_20190406T054641_R048_T43SDA_20201006T224515|S2A_MSIL2A_20190416T054641_R048_T43SDA_20201007T024058|S2B_MSIL2A_20190421T054649_R048_T43SDA_20201105T140110|S2B_MSIL2A_20190501T054649_R048_T43SDA_20201006T084603,2019-04-07|2019-04-15|2019-04-23|2019-05-01,2015|2016|2017|2018,fbce1a3b920d7159b3d122552ecd14bcf5e12842e1aa04fd6ab5ece57e14b59e
2019-05-12,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-04-01T05:46:39.024000+00:00|2019-04-06T05:46:41.024000+00:00|2019-04-16T05:46:41.024000+00:00|2019-04-21T05:46:49.024000+00:00|2019-05-01T05:46:49.024000+00:00|2019-05-06T05:46:41.024000+00:00|2019-05-11T05:46:49.024000+00:00,S2B_MSIL2A_20190401T054639_R048_T43SDA_20201006T210247|S2A_MSIL2A_20190406T054641_R048_T43SDA_20201006T224515|S2A_MSIL2A_20190416T054641_R048_T43SDA_20201007T024058|S2B_MSIL2A_20190421T054649_R048_T43SDA_20201105T140110|S2B_MSIL2A_20190501T054649_R048_T43SDA_20201006T084603|S2A_MSIL2A_20190506T054641_R048_T43SDA_20201006T103647|S2B_MSIL2A_20190511T054649_R048_T43SDA_20201006T125436,2019-04-15|2019-04-23|2019-05-01|2019-05-09,2015|2016|2017|2018,721e12072934664a6009987dcabd7307c74d748934b077219513fd2327aad79d
2019-05-20,train,shisper_2019_glof,0.0,2019-06-22,2019-06-23,62,2019-04-06T05:46:41.024000+00:00|2019-04-16T05:46:41.024000+00:00|2019-04-21T05:46:49.024000+00:00|2019-05-01T05:46:49.024000+00:00|2019-05-06T05:46:41.024000+00:00|2019-05-11T05:46:49.024000+00:00,S2A_MSIL2A_20190406T054641_R048_T43SDA_20201006T224515|S2A_MSIL2A_20190416T054641_R048_T43SDA_20201007T024058|S2B_MSIL2A_20190421T054649_R048_T43SDA_20201105T140110|S2B_MSIL2A_20190501T054649_R048_T43SDA_20201006T084603|S2A_MSIL2A_20190506T054641_R048_T43SDA_20201006T103647|S2B_MSIL2A_20190511T054649_R048_T43SDA_20201006T125436,2019-04-23|2019-05-01|2019-05-09|2019-05-17,2015|2016|2017|2018,de9c403cef27891bb5f5250ab7fe72d81f08b61d520460b5d4bc7702ad670d62
2019-05-28,train,shisper_2019_glof,1.0,2019-06-22,2019-06-23,62,2019-04-16T05:46:41.024000+00:00|2019-04-21T05:46:49.024000+00:00|2019-05-01T05:46:49.024000+00:00|2019-05-06T05:46:41.024000+00:00|2019-05-11T05:46:49.024000+00:00|2019-05-26T05:46:41.024000+00:00,S2A_MSIL2A_20190416T054641_R048_T43SDA_20201007T024058|S2B_MSIL2A_20190421T054649_R048_T43SDA_20201105T140110|S2B_MSIL2A_20190501T054649_R048_T43SDA_20201006T084603|S2A_MSIL2A_20190506T054641_R048_T43SDA_20201006T103647|S2B_MSIL2A_20190511T054649_R048_T43SDA_20201006T125436|S2A_MSIL2A_20190526T054641_R048_T43SDA_20201006T182833,2019-05-01|2019-05-09|2019-05-17|2019-05-25,2015|2016|2017|2018,a30496ec465fb5896810373cb7b1ec8ce05b5a00268548304a3c61e3c6726198
2019-06-05,train,shisper_2019_glof,1.0,2019-06-22,2019-06-23,62,2019-04-21T05:46:49.024000+00:00|2019-05-01T05:46:49.024000+00:00|2019-05-06T05:46:41.024000+00:00|2019-05-11T05:46:49.024000+00:00|2019-05-26T05:46:41.024000+00:00|2019-05-31T05:46:49.024000+00:00,S2B_MSIL2A_20190421T054649_R048_T43SDA_20201105T140110|S2B_MSIL2A_20190501T054649_R048_T43SDA_20201006T084603|S2A_MSIL2A_20190506T054641_R048_T43SDA_20201006T103647|S2B_MSIL2A_20190511T054649_R048_T43SDA_20201006T125436|S2A_MSIL2A_20190526T054641_R048_T43SDA_20201006T182833|S2B_MSIL2A_20190531T054649_R048_T43SDA_20201006T203905,2019-05-09|2019-05-17|2019-05-25|2019-06-02,2015|2016|2017|2018,e469d377ced4ee8bb691b8a1aa51eabd49134d87ec1290716f1bb3d6462924e8
2019-06-13,train,shisper_2019_glof,1.0,2019-06-22,2019-06-23,62,2019-05-01T05:46:49.024000+00:00|2019-05-06T05:46:41.024000+00:00|2019-05-11T05:46:49.024000+00:00|2019-05-26T05:46:41.024000+00:00|2019-05-31T05:46:49.024000+00:00|2019-06-10T05:46:49.024000+00:00,S2B_MSIL2A_20190501T054649_R048_T43SDA_20201006T084603|S2A_MSIL2A_20190506T054641_R048_T43SDA_20201006T103647|S2B_MSIL2A_20190511T054649_R048_T43SDA_20201006T125436|S2A_MSIL2A_20190526T054641_R048_T43SDA_20201006T182833|S2B_MSIL2A_20190531T054649_R048_T43SDA_20201006T203905|S2B_MSIL2A_20190610T054649_R048_T43SDA_20201006T003236,2019-05-17|2019-05-25|2019-06-02|2019-06-10,2015|2016|2017|2018,482df8da603bec7d4bbec8c982eab0f5cb0744e9372f7e642ba0ce8b87c0d0b4
2019-06-21,train,shisper_2019_glof,1.0,2019-06-22,2019-06-23,62,2019-05-06T05:46:41.024000+00:00|2019-05-11T05:46:49.024000+00:00|2019-05-26T05:46:41.024000+00:00|2019-05-31T05:46:49.024000+00:00|2019-06-10T05:46:49.024000+00:00|2019-06-15T05:46:41.024000+00:00|2019-06-20T05:46:49.024000+00:00,S2A_MSIL2A_20190506T054641_R048_T43SDA_20201006T103647|S2B_MSIL2A_20190511T054649_R048_T43SDA_20201006T125436|S2A_MSIL2A_20190526T054641_R048_T43SDA_20201006T182833|S2B_MSIL2A_20190531T054649_R048_T43SDA_20201006T203905|S2B_MSIL2A_20190610T054649_R048_T43SDA_20201006T003236|S2A_MSIL2A_20190615T054641_R048_T43SDA_20201006T022307|S2B_MSIL2A_20190620T054649_R048_T43SDA_20201006T043819,2019-05-25|2019-06-02|2019-06-10|2019-06-18,2015|2016|2017|2018,649ae19bb373cdda923b747e949131af24d8d7d83914a95e28d5294d01a31f12
2020-03-01,train,shisper_2020_glof,0.0,2020-05-29,2020-05-29,62,2020-01-16T05:51:59.024000+00:00|2020-01-26T05:51:19.024000+00:00|2020-01-31T05:50:51.024000+00:00|2020-02-05T05:50:29.024000+00:00|2020-02-10T05:49:51.024000+00:00|2020-02-15T05:49:29.024000+00:00|2020-02-20T05:48:51.024000+00:00|2020-02-25T05:48:19.024000+00:00|2020-03-01T05:47:41.024000+00:00,S2B_MSIL2A_20200116T055159_R048_T43SDA_20201002T192913|S2B_MSIL2A_20200126T055119_R048_T43SDA_20201002T114229|S2A_MSIL2A_20200131T055051_R048_T43SDA_20201002T160401|S2B_MSIL2A_20200205T055029_R048_T43SDA_20200930T231919|S2A_MSIL2A_20200210T054951_R048_T43SDA_20201001T135808|S2B_MSIL2A_20200215T054929_R048_T43SDA_20201002T020446|S2A_MSIL2A_20200220T054851_R048_T43SDA_20200930T030905|S2B_MSIL2A_20200225T054819_R048_T43SDA_20200928T083303|S2A_MSIL2A_20200301T054741_R048_T43SDA_20200925T231225,2020-02-02|2020-02-10|2020-02-18|2020-02-26,2016|2017|2018|2019,2afdef76bd67a5dc924c586f241fdc2b53c59c6bfca287d83f7f9474b016a00b
2020-03-09,train,shisper_2020_glof,0.0,2020-05-29,2020-05-29,62,2020-01-26T05:51:19.024000+00:00|2020-01-31T05:50:51.024000+00:00|2020-02-05T05:50:29.024000+00:00|2020-02-10T05:49:51.024000+00:00|2020-02-15T05:49:29.024000+00:00|2020-02-20T05:48:51.024000+00:00|2020-02-25T05:48:19.024000+00:00|2020-03-01T05:47:41.024000+00:00,S2B_MSIL2A_20200126T055119_R048_T43SDA_20201002T114229|S2A_MSIL2A_20200131T055051_R048_T43SDA_20201002T160401|S2B_MSIL2A_20200205T055029_R048_T43SDA_20200930T231919|S2A_MSIL2A_20200210T054951_R048_T43SDA_20201001T135808|S2B_MSIL2A_20200215T054929_R048_T43SDA_20201002T020446|S2A_MSIL2A_20200220T054851_R048_T43SDA_20200930T030905|S2B_MSIL2A_20200225T054819_R048_T43SDA_20200928T083303|S2A_MSIL2A_20200301T054741_R048_T43SDA_20200925T231225,2020-02-10|2020-02-18|2020-02-26|2020-03-05,2016|2017|2018|2019,5da9b14ec7754248df376753c76aeeefa648785ba4442144cd909a1cce8d49f8
2020-03-17,train,shisper_2020_glof,0.0,2020-05-29,2020-05-29,62,2020-01-31T05:50:51.024000+00:00|2020-02-05T05:50:29.024000+00:00|2020-02-10T05:49:51.024000+00:00|2020-02-15T05:49:29.024000+00:00|2020-02-20T05:48:51.024000+00:00|2020-02-25T05:48:19.024000+00:00|2020-03-01T05:47:41.024000+00:00|2020-03-11T05:46:31.024000+00:00|2020-03-16T05:46:39.024000+00:00,S2A_MSIL2A_20200131T055051_R048_T43SDA_20201002T160401|S2B_MSIL2A_20200205T055029_R048_T43SDA_20200930T231919|S2A_MSIL2A_20200210T054951_R048_T43SDA_20201001T135808|S2B_MSIL2A_20200215T054929_R048_T43SDA_20201002T020446|S2A_MSIL2A_20200220T054851_R048_T43SDA_20200930T030905|S2B_MSIL2A_20200225T054819_R048_T43SDA_20200928T083303|S2A_MSIL2A_20200301T054741_R048_T43SDA_20200925T231225|S2A_MSIL2A_20200311T054631_R048_T43SDA_20201005T165917|S2B_MSIL2A_20200316T054639_R048_T43SDA_20201010T095529,2020-02-18|2020-02-26|2020-03-05|2020-03-13,2016|2017|2018|2019,7109ccb1dc3c434ee039f8947e37d6fe13a09ecc7ead73433a691ceeaeb378d9
